FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY,TRANSFER_IN,TRANSFER_OUT
0,-,New South Wales,Australia,2020-01-27,,,4,,,,"New South Wales, Australia",AU,AustraliaNew South Wales-43857.9993055556,,
0,-,Victoria,Australia,2020-01-27,,,1,,,,"Victoria, Australia",AU,AustraliaVictoria-43857.9993055556,,
0,-,-,Cambodia,2020-01-27,,,1,,,,Cambodia,KH,Cambodia-43857.9993055556,,
0,-,Ontario,Canada,2020-01-27,,,1,,,,"Ontario, Canada",CA,CanadaOntario-43857.9993055556,,
0,-,Anhui,China,2020-01-27,,,70,,,,"Anhui, China",CN,ChinaAnhui-43857.9993055556,,
0,-,Beijing,China,2020-01-27,,,80,1,2,,"Beijing, China",CN,ChinaBeijing-43857.9993055556,,
0,-,Chongqing,China,2020-01-27,,,110,,,,"Chongqing, China",CN,ChinaChongqing-43857.9993055556,,
0,-,Fujian,China,2020-01-27,,,59,,,,"Fujian, China",CN,ChinaFujian-43857.9993055556,,
0,-,Gansu,China,2020-01-27,,,14,,,,"Gansu, China",CN,ChinaGansu-43857.9993055556,,
0,-,Guangdong,China,2020-01-27,,,151,,4,,"Guangdong, China",CN,ChinaGuangdong-43857.9993055556,,
0,-,Guangxi,China,2020-01-27,,,46,,,,"Guangxi, China",CN,ChinaGuangxi-43857.9993055556,,
0,-,Guizhou,China,2020-01-27,,,7,,,,"Guizhou, China",CN,ChinaGuizhou-43857.9993055556,,
0,-,Hainan,China,2020-01-27,,,33,1,,,"Hainan, China",CN,ChinaHainan-43857.9993055556,,
0,-,Hebei,China,2020-01-27,,,18,1,,,"Hebei, China",CN,ChinaHebei-43857.9993055556,,
0,-,Heilongjiang,China,2020-01-27,,,21,1,,,"Heilongjiang, China",CN,ChinaHeilongjiang-43857.9993055556,,
0,-,Henan,China,2020-01-27,,,128,1,,,"Henan, China",CN,ChinaHenan-43857.9993055556,,
0,-,Hubei,China,2020-01-27,,,1423,76,45,,"Hubei, China",CN,ChinaHubei-43857.9993055556,,
0,-,Hunan,China,2020-01-27,,,100,,,,"Hunan, China",CN,ChinaHunan-43857.9993055556,,
0,-,Inner Mongolia,China,2020-01-27,,,11,,,,"Inner Mongolia, China",CN,ChinaInner Mongolia-43857.9993055556,,
0,-,Jiangsu,China,2020-01-27,,,47,,1,,"Jiangsu, China",CN,ChinaJiangsu-43857.9993055556,,
0,-,Jiangxi,China,2020-01-27,,,72,,2,,"Jiangxi, China",CN,ChinaJiangxi-43857.9993055556,,
0,-,Jilin,China,2020-01-27,,,6,,,,"Jilin, China",CN,ChinaJilin-43857.9993055556,,
0,-,Liaoning,China,2020-01-27,,,27,,,,"Liaoning, China",CN,ChinaLiaoning-43857.9993055556,,
0,-,Ningxia,China,2020-01-27,,,7,,,,"Ningxia, China",CN,ChinaNingxia-43857.9993055556,,
0,-,Qinghai,China,2020-01-27,,,6,,,,"Qinghai, China",CN,ChinaQinghai-43857.9993055556,,
0,-,Shaanxi,China,2020-01-27,,,35,,,,"Shaanxi, China",CN,ChinaShaanxi-43857.9993055556,,
0,-,Shandong,China,2020-01-27,,,75,,,,"Shandong, China",CN,ChinaShandong-43857.9993055556,,
0,-,Shanghai,China,2020-01-27,,,53,1,3,,"Shanghai, China",CN,ChinaShanghai-43857.9993055556,,
0,-,Shanxi,China,2020-01-27,,,13,,,,"Shanxi, China",CN,ChinaShanxi-43857.9993055556,,
0,-,Sichuan,China,2020-01-27,,,69,,,,"Sichuan, China",CN,ChinaSichuan-43857.9993055556,,
0,-,Tianjin,China,2020-01-27,,,23,,,,"Tianjin, China",CN,ChinaTianjin-43857.9993055556,,
0,-,Xinjiang,China,2020-01-27,,,5,,,,"Xinjiang, China",CN,ChinaXinjiang-43857.9993055556,,
0,-,Yunnan,China,2020-01-27,,,26,,,,"Yunnan, China",CN,ChinaYunnan-43857.9993055556,,
0,-,Zhejiang,China,2020-01-27,,,128,,1,,"Zhejiang, China",CN,ChinaZhejiang-43857.9993055556,,
0,-,-,France,2020-01-27,,,3,,,,France,FR,France-43857.9993055556,,
0,-,Hong Kong,Hong Kong,2020-01-27,,,8,,,,"Hong Kong, Hong Kong",HK,Hong KongHong Kong-43857.9993055556,,
0,-,-,Ivory Coast,2020-01-27,,,1,,,,Ivory Coast,CI,Ivory Coast-43857.9993055556,,
0,-,-,Japan,2020-01-27,,,4,,1,,Japan,JP,Japan-43857.9993055556,,
0,-,Macau,Macau,2020-01-27,,,6,,,,"Macau, Macau",MO,MacauMacau-43857.9993055556,,
0,-,-,Malaysia,2020-01-27,,,4,,,,Malaysia,MY,Malaysia-43857.9993055556,,
0,-,-,Nepal,2020-01-27,,,1,,,,Nepal,NP,Nepal-43857.9993055556,,
0,-,-,Singapore,2020-01-27,,,5,,,,Singapore,SG,Singapore-43857.9993055556,,
0,-,-,South Korea,2020-01-27,,,4,,,,South Korea,KR,South Korea-43857.9993055556,,
0,-,-,Sri Lanka,2020-01-27,,,1,,,,Sri Lanka,LK,Sri Lanka-43857.9993055556,,
0,-,Taiwan,Taiwan,2020-01-27,,,5,,,,"Taiwan, Taiwan",TW,TaiwanTaiwan-43857.9993055556,,
0,-,-,Thailand,2020-01-27,,,8,,2,,Thailand,TH,Thailand-43857.9993055556,,
0,Tempe,Arizona,US,2020-01-27,,,1,,,,"Tempe, Arizona, US",US,USArizonaTempe43857.9993055556,,
0,San Benito,California,US,2020-01-27,,,1,,,,"San Benito, California, US",US,USCaliforniaSan Benito43857.9993055556,,
0,Santa Clara,California,US,2020-01-27,,,1,,,,"Santa Clara, California, US",US,USCaliforniaSanta Clara43857.9993055556,,
0,Chicago,Illinois,US,2020-01-27,,,1,,,,"Chicago, Illinois, US",US,USIllinoisChicago43857.9993055556,,
0,Seattle,Washington,US,2020-01-27,,,1,,,,"Seattle, Washington, US",US,USWashingtonSeattle43857.9993055556,,
0,-,-,Vietnam,2020-01-27,,,2,,,,Vietnam,VN,Vietnam-43857.9993055556,,
